date,region,client,categorie_produit,montant_vente,quantite
2024-04-12,Tanger,Client_0140,Maison,442.18,5
2024-12-14,Rabat,Client_0129,Alimentaire,117.62,16
2024-09-27,Tanger,Client_0198,Électronique,676.9,4
2024-04-16,Casablanca,Client_0111,Maison,1249.8,1
2024-03-12,Tanger,Client_0126,Électronique,85.76,4
2024-07-07,Agadir,Client_0020,Mode,1029.22,3
2024-01-21,Agadir,Client_0146,Maison,1402.12,4
2024-04-12,Tanger,Client_0088,Alimentaire,393.55,1
2024-05-01,Agadir,Client_0046,Alimentaire,1055.77,12
2024-08-02,Rabat,Client_0149,Mode,1463.9,13
2024-11-26,Tanger,Client_0160,Électronique,1445.3,2
2024-03-28,Rabat,Client_0159,Électronique,390.65,9
2024-04-09,Rabat,Client_0191,Alimentaire,195.48,7
2024-12-25,Marrakech,Client_0084,Électronique,265.01,13
2024-05-31,Tanger,Client_0166,Maison,1067.95,2
2024-05-10,Agadir,Client_0127,Maison,1102.35,1
2024-05-29,Rabat,Client_0071,Alimentaire,1027.64,18
2024-11-04,Marrakech,Client_0041,Maison,537.31,7
2024-09-14,Tanger,Client_0008,Alimentaire,296.18,18
2024-12-09,Tanger,Client_0024,Électronique,892.1,19
2024-10-20,Casablanca,Client_0001,Électronique,751.34,8
2024-07-10,Casablanca,Client_0018,Électronique,1106.81,12
2024-10-03,Rabat,Client_0019,Mode,689.97,11
2024-06-09,Casablanca,Client_0069,Alimentaire,541.03,9
2024-11-09,Rabat,Client_0016,Maison,475.54,4
2024-01-22,Agadir,Client_0123,Électronique,356.63,7
2024-09-09,Rabat,Client_0088,Mode,435.33,17
2024-08-23,Casablanca,Client_0195,Maison,187.5,11
2024-12-10,Agadir,Client_0093,Maison,552.94,2
2024-02-18,Casablanca,Client_0083,Maison,103.03,18
2024-02-28,Rabat,Client_0130,Électronique,320.3,12
2024-06-18,Marrakech,Client_0086,Maison,1132.82,9
2024-07-06,Tanger,Client_0050,Alimentaire,521.93,11
2024-09-27,Casablanca,Client_0081,Mode,1018.94,5
2024-07-08,Rabat,Client_0153,Maison,1089.48,7
2024-06-23,Agadir,Client_0183,Maison,892.72,1
2024-02-20,Casablanca,Client_0191,Alimentaire,1440.11,5
2024-12-29,Casablanca,Client_0007,Maison,81.09,6
2024-02-24,Tanger,Client_0164,Électronique,1121.05,13
2024-08-31,Rabat,Client_0120,Électronique,1440.24,11
2024-11-15,Marrakech,Client_0154,Électronique,1300.29,8
2024-05-10,Agadir,Client_0172,Maison,293.44,2
2024-11-02,Rabat,Client_0003,Mode,523.89,15
2024-05-14,Agadir,Client_0085,Mode,300.06,10
2024-01-21,Casablanca,Client_0127,Maison,921.9,8
2024-11-24,Tanger,Client_0109,Mode,1082.67,2
2024-06-15,Tanger,Client_0098,Mode,509.76,15
2024-09-30,Marrakech,Client_0036,Maison,832.28,6
2024-03-29,Tanger,Client_0070,Électronique,1051.83,5
2024-11-11,Casablanca,Client_0032,Maison,660.94,3
2024-01-14,Marrakech,Client_0030,Électronique,1288.32,11
2024-08-29,Rabat,Client_0182,Électronique,1168.75,11
2024-09-21,Tanger,Client_0124,Mode,143.77,16
2024-12-11,Marrakech,Client_0011,Mode,950.63,3
2024-02-22,Casablanca,Client_0010,Électronique,391.22,9
2024-12-05,Agadir,Client_0087,Électronique,858.4,3
2024-04-01,Agadir,Client_0071,Mode,1437.49,19
2024-09-20,Casablanca,Client_0031,Alimentaire,1324.64,11
2024-02-04,Casablanca,Client_0056,Électronique,636.55,14
2024-07-24,Agadir,Client_0165,Électronique,472.7,2
2024-03-21,Marrakech,Client_0187,Électronique,389.89,7
2024-02-19,Agadir,Client_0085,Mode,822.15,10
2024-12-25,Casablanca,Client_0018,Maison,215.66,10
2024-01-02,Tanger,Client_0115,Électronique,846.45,1
2024-02-23,Rabat,Client_0183,Électronique,51.93,6
2024-04-15,Tanger,Client_0013,Électronique,519.58,14
2024-09-16,Tanger,Client_0032,Maison,368.9,2
2024-11-05,Casablanca,Client_0009,Maison,1458.27,6
2024-07-09,Agadir,Client_0079,Électronique,1104.5,1
2024-08-05,Marrakech,Client_0191,Électronique,557.0,3
2024-02-13,Tanger,Client_0063,Alimentaire,184.63,4
2024-06-10,Agadir,Client_0189,Maison,799.36,13
2024-07-20,Marrakech,Client_0067,Alimentaire,359.5,3
2024-09-26,Tanger,Client_0091,Électronique,827.82,15
2024-12-16,Marrakech,Client_0124,Électronique,1261.28,13
2024-10-30,Agadir,Client_0170,Électronique,942.9,11
2024-09-27,Rabat,Client_0079,Électronique,968.99,4
2024-08-02,Agadir,Client_0058,Mode,834.49,17
2024-09-08,Casablanca,Client_0179,Mode,1394.54,5
2024-07-08,Marrakech,Client_0096,Mode,1401.26,8
2024-10-22,Rabat,Client_0018,Alimentaire,793.45,10
2024-07-31,Marrakech,Client_0148,Maison,493.35,7
2024-07-26,Marrakech,Client_0021,Électronique,716.4,17
2024-08-24,Tanger,Client_0008,Maison,320.51,7
2024-12-03,Casablanca,Client_0008,Mode,972.7,19
2024-02-22,Marrakech,Client_0026,Électronique,775.13,9
2024-10-06,Agadir,Client_0016,Électronique,199.79,2
2024-08-04,Agadir,Client_0171,Alimentaire,336.59,19
